pitch,roll,yaw,gyrox,gyroy,gyroz,accz,accx,accy,secayo,messageIndex,,acc
-10.64,10.99,17.78,-0.01,-24.18,-6.39,1.16,0.16,0.14,0,96,,1.179321839
-0.67,3.25,20.98,-67.98,-32.55,-19.03,0.87,0.27,0.31,0,97,,0.962236977
11.3,2.25,23.1,10.76,16.77,15.27,1.24,-0.26,0.04,0,98,,1.26759615
5.72,-6.5,23.38,68.6,-35.84,3.43,1.4,-0.58,0.03,0,99,,1.515684664
-19.88,12.58,19.76,22.7,-74.61,-26.86,0.92,0.23,0.26,0,100,,0.983310734
-11.96,-15.83,22.79,-3.43,57.18,69.17,1.05,0.13,-0.04,0,101,,1.058772875
3.34,0.09,31.68,10.91,-22.01,27.9,0.98,-0.14,0.06,0,102,,0.991766101
-5.65,3.82,34.4,-20.74,-132.88,-22.89,0.86,0.01,0.01,0,103,,0.860116271
-20.85,1.47,24.83,18.47,-295.87,-12.83,1.29,0.58,-0.03,0,104,,1.414708451
-29.85,9.24,25.84,40.47,-12.73,31.29,1.09,0.52,0.39,0,105,,1.269094165
3.83,-2.98,34.9,69.6,25.16,55.52,1.28,-0.53,0.42,0,106,,1.447653273
-5.83,0.68,36.38,44.12,-162.26,13.47,1.13,0.09,0.03,0,107,,1.133975308
-17.34,2.78,35.98,-24.89,26.14,-15.99,1.16,-0.02,-0.16,0,108,,1.171153278
-23.05,2.86,33.54,56.05,-92.24,26.88,0.99,0.41,0.18,0,109,,1.086554186
-16.77,7.83,38.78,-18.77,-65.84,9,1.06,0.26,0.03,0,110,,1.091833321
-6.33,-3.55,40.62,5.83,167.64,2.27,1.05,-0.09,0.04,0,111,,1.054608932
11.82,3.46,40.02,4.8,1.77,-6.36,1.04,-0.08,-0.07,0,112,,1.045418576
1.95,-9.46,38,-14.8,-153.52,-18.21,0.99,-0.19,-0.21,0,113,,1.029708697
-5.61,11.26,38.47,-9.73,25.19,-9.2,1.12,0.01,0.23,0,114,,1.143415935
-4.42,-14.63,40.22,44.7,272.9,65.35,1.16,-0.13,0.14,0,115,,1.175627492
16.05,2.36,38.28,5.05,-7.75,-13.64,1.12,-0.27,0.03,0,116,,1.152475596
-7.45,-13.02,37.32,28.41,78.81,32.71,1.12,-0.04,-0.02,0,117,,1.120892502
-7.65,9.81,38.59,8.59,-49.46,-2.88,1.04,0.12,0.2,0,118,,1.065833008
-4.87,-18.06,40.61,51.83,261.68,71.76,1.15,-0.19,-0.03,0,119,,1.165975986
15.13,5.41,40.79,28.79,-38.67,-2.09,1.16,-0.42,0.13,0,120,,1.240524083
-15.02,-8.07,43.97,25.21,-34.1,30.83,0.83,-0.08,-0.14,0,121,,0.845517593
-7.64,6.25,48.37,-4.48,-151.83,-18.48,1.16,0.08,0.14,0,122,,1.171153278
-7.64,-2.37,51.08,-11.12,18.07,28.43,1.2,-0.16,-0.2,0,123,,1.227028932
6.15,5.95,55.21,-10.95,31.81,1.14,1.2,-0.22,0.36,0,124,,1.272006289
4.29,4.7,50.98,-18.86,-45.84,-18.53,1.11,-0.08,0.06,0,125,,1.114495402
-5.23,0.41,47.88,-26.05,-238.55,-49,1.1,0.2,-0.11,0,126,,1.123432241
-20.88,7.18,45.76,6.18,17.19,8.92,1.12,0.23,0.03,0,127,,1.14376571
-7.88,-2.39,49.75,-42.77,86.43,4.57,0.99,-0.03,0.48,0,128,,1.10063618
19.2,6.73,48.63,-9.08,10.63,-23.44,1.15,-0.33,0.19,0,129,,1.211404144
-1.91,-15.32,44.93,-27.76,97.01,37.88,1.13,0.18,0.09,0,130,,1.147780467
0.34,1.77,46.03,-6.33,110.69,-9.52,1.18,0.04,0.02,0,131,,1.180847154
8.66,1.88,46.78,1.93,21.09,20.16,1.06,0.15,0.13,0,132,,1.078424777
17.24,-0.04,47.48,-17.92,125.93,-8.25,1.09,-0.27,0.2,0,133,,1.14061387
15.49,0.67,42.93,-39.85,14.54,-24.04,1,0.05,-0.05,0,134,,1.002496883
-9.52,-7.65,39.94,-9.37,126.69,4.3,0.75,0.77,-0.04,0,135,,1.075639345
16.04,-2.13,38.08,-5.37,116.07,-18.07,1.3,-0.34,0.03,0,136,,1.344061011
7.88,-5.51,37.88,-19.72,74.66,-20.68,0.97,-0.05,0.12,0,137,,0.97867257
19.19,2.43,33.82,-22.79,25.48,-18.79,0.97,-0.25,0.08,0,138,,1.004888053
7.93,-11.53,31.42,25.83,135.19,45.06,1.26,-0.41,0.37,0,139,,1.375717994
-7.95,0.99,29.35,-11.44,38.8,-10.16,0.92,0.24,0.04,0,140,,0.95163018
0.49,-0.06,29.73,-11.32,-15.86,10.95,1.07,0.1,0.01,1,141,,1.074709263
0.47,-0.5,34.05,8.1,65.07,8.92,1.15,-0.13,0.06,1,142,,1.158878768
4.79,8.49,34.22,-13.17,-43.86,-15.11,0.97,0.03,0.1,1,143,,0.975602378
-3.64,10.57,30.22,-44.88,119.45,-20.34,1.83,-0.14,0.05,1,144,,1.836028322
-8.42,14.44,14.13,477.93,-233.39,-181.12,1.34,0.22,-0.05,1,145,,1.358859816
-16.36,91.53,-19.83,-9.49,188.14,-40.6,0.17,0.38,1.8,1,146,,1.84751184
5.39,82.81,-21.7,288.48,83.18,50.75,0.46,-1.17,2.32,1,147,,2.638730755
-7.26,78.03,-19.98,10.99,-30.33,10.71,0.19,0.18,1.32,1,148,,1.345696846
-8.6,78.14,-17.24,-20.79,-5.86,16.31,0.23,0.14,1.24,1,149,,1.268897159
-15.75,70.24,-15.55,-15.26,16.02,5.01,0.34,0.28,1.04,1,150,,1.129424632
-14.57,70.4,-14.23,4.02,-60.55,4.94,0.09,0.57,1.22,1,151,,1.349592531
-18.99,66.25,-13.08,-12.51,19.06,-10.02,0.25,0.35,1.14,1,152,,1.218441628
-17.81,66.75,-15,10.92,23.67,-9.69,0.25,0.36,1.2,1,153,,1.277536692
-13.83,72.76,-15.32,3.73,-2.85,3.91,0.18,0.34,1.27,1,154,,1.326989073
