pitch,roll,yaw,gyrox,gyroy,gyroz,accz,accx,accy,secayo,messageIndex
-1.25,4.57,-18.15,-5.08,21.9,15.67,1.07,0.01,-0.09,0,120
7.86,0.26,-14.22,-56.38,-46.98,-28.95,1.04,-0.3,-0.17,0,121
17.87,1.47,-15.02,2.29,12.8,-9.81,1.17,-0.32,0.07,0,122
8.2,-13.12,-17.39,26.05,117.22,32.71,1.14,-0.33,0.07,0,123
2.49,7.01,-17.76,-7.57,-3.49,-2.05,1.29,-0.26,0.3,0,124
8.02,-2.23,-15.51,-43.55,26.38,16.8,1.27,-0.04,-0.09,0,125
11.54,-7.9,-12.37,39.03,183.83,26.16,0.97,-0.05,-0.04,0,126
23.81,1.36,-10.18,-14.47,35.15,4.64,1.2,-0.43,0.11,0,127
20.88,-3.39,-9.26,-48.26,8.53,23.17,1.59,-0.52,0.13,0,128
9.85,5.9,-11.62,-13.23,-39.47,-16.92,0.95,-0.33,-0.02,0,129
9.06,-6.81,-9.32,-30.61,56.44,6.56,1.17,-0.12,-0.54,0,130
26.2,-1.14,-10.11,21.49,198.54,-20.62,1.12,-0.38,0.16,0,131
19.83,-10.13,-15.09,-42.79,-94.81,-66.98,0.86,0.01,-0.46,0,132
-11.6,-6.99,-16.65,41.58,21.34,-7.58,0.18,0.93,-0.14,0,133
14.48,0.83,-15.66,3.99,50.61,2.32,1.14,-0.23,0.04,0,134
13.5,0.07,-12.88,-28.12,15.51,-40.07,0.76,-0.06,-0.07,0,135
26.8,-0.04,-13.85,-0.27,57.34,7.42,1.18,-0.54,0.03,0,136
12.63,-16.98,-15.21,33.1,87.37,49.92,1.28,-0.65,0.07,0,137
-2.71,3.61,-17.67,4.2,1.08,-4.31,1.06,-0.03,0.11,0,138
1.95,-16.39,-18.24,-8.5,-82.77,-17.49,0.54,0.25,-0.8,0,139
20.74,-2.92,-15.8,-5.43,49.64,-6.25,0.99,-0.44,0.07,0,140
13.46,-4.66,-19.42,-29.52,-41.75,-38.95,0.85,-0.06,-0.27,0,141
1.18,-3.41,-20.47,12.25,-135.87,-21.79,0.85,0.34,-0.09,0,142
3.09,5.84,-19.49,-5.23,29.99,-1.29,1.07,-0.12,0.08,0,143
7.41,-12.18,-16.43,19.53,175.35,53.58,1.02,-0.25,0.31,0,144
17.68,-2.83,-16.48,11.88,14.36,-1.79,1.13,-0.31,-0.05,0,145
2.03,-14.35,-18.32,42.78,56.93,39.98,1.32,-0.26,-0.28,0,146
-18.23,7.92,-18.89,6.25,-92.89,-6.6,1.24,0.15,0.16,0,147
1.9,3.64,-14.29,-4.93,103.35,25.34,1.09,-0.25,0.33,1,148
8.21,20.3,-18.92,-7.57,39.29,-35.38,1.03,-0.07,0.45,1,149
-9.78,4.58,-26.66,81.93,16.33,-2.71,1.2,0.3,0.21,1,150
-15.4,23.9,-32.77,-30,262.96,29.8,0.9,0.11,0.9,1,151
69.67,15.16,-20.37,-71.45,145.57,79.89,0.59,-1.62,-0.16,1,152
54.88,11.43,-19.11,-38.03,21.23,-34.58,0.75,-0.94,0.18,1,153
20.52,4.42,-36.61,6.55,-90.97,-81.12,0.51,0.06,-0.08,1,154
5.95,-1.3,-45.81,6.03,26.44,-13.45,0.65,-0.03,0,1,155
-8.99,4.78,-49.25,18.51,3.67,1.63,0.62,0.16,0.1,1,156
15.17,1.56,-48.91,92.08,-5.46,0.8,0.64,-0.48,-0.02,1,157
21.25,28.28,-50.4,89.27,-105.58,-25.64,0.41,-0.11,0.34,1,158
-34.71,50.42,-53.64,37.67,-39.26,-3.18,0.19,0.62,0.72,1,159
-24.4,71.04,-53.35,135.32,20.33,-13.88,0.19,0.3,1.01,1,160
-3.89,83.61,-46.89,11.64,-11.68,52.39,0.21,0.06,1.41,1,161
-19.27,76.07,-38.08,-109.09,-22.05,84.44,0.33,0.57,0.81,1,162
-3.42,39.61,-22.91,-65.25,-62.1,17.32,0.5,0.23,0.49,1,163
-38.22,2.49,-11.19,-89.26,58.76,60.99,0.81,0.61,0.1,1,164
-15.65,-0.33,-7.42,25.01,-39.85,18.56,0.8,0.14,-0.04,1,165
